date,startup,vertical,subvertical,city,Investor,Type,amount,year,month,quarter
2020-01-09,byjus,e-tech,e-learning,bengaluru,tiger global management,private equity round,1780.0Cr,2020,1,1
2020-01-13,shuttl,transportation,app based shuttle service,gurgaon,susquehanna growth equity,series c,71.6307066Cr,2020,1,1
2020-01-09,mamaearth,e-commerce,retailer of baby and toddler products,bengaluru,sequoia capital india,series b,163.393854Cr,2020,1,1
2020-01-02,https://wwwwealthbucketin/,fintech,online investment,new delhi,vinod khatumal,pre-series a,26.7Cr,2020,1,1
2020-01-02,fashor,fashion and apparel,embroiled clothes for women,mumbai,sprout venture partners,seed round,16.02Cr,2020,1,1
2020-01-13,pando,logistics,"open-market, freight management platform",chennai,chiratae ventures,series a,80.1Cr,2020,1,1
2020-01-10,zomato,hospitality,online food delivery platform,gurgaon,ant financial,private equity round,1335.0Cr,2020,1,1
2019-12-12,ecozen,technology,agritech,pune,sathguru catalyzer advisors,series a,53.4Cr,2019,12,4
2019-12-06,cardekho,e-commerce,automobile,gurgaon,ping an global voyager fund,series d,623.0Cr,2019,12,4
2019-12-03,dhruva space,aerospace,satellite communication,bengaluru,mumbai angels ravikanth reddy,seed,445.0Cr,2019,12,4
2019-12-13,rivigo,technology,logistics services and solutions,gurgaon,saif partners spring canter investment ltd,series f,178.0Cr,2019,12,4
2019-12-17,healthians,b2b-focused foodtech startup,food solutions for corporate,bengaluru,paytm nptk sabre partners and neoplux,series c,106.8Cr,2019,12,4
2019-12-16,licious,e-commerce,online meat and seafood ordering startup,bengaluru,vertex growth fund,series e,267.0Cr,2019,12,4
2019-12-16,incred,finance,non-banking financial company,mumbai,undisclosed,debt funding,52.51Cr,2019,12,4
2019-12-14,trell,video,experience discovery platform,bengaluru,ruizheng investment,seed round,17.8Cr,2019,12,4
2019-12-11,rein games,gaming,real money based gaming startup,noida,manipal education and medical group (memg),seed round,445.0Cr,2019,12,4
2019-12-20,lenskartcom,e-commerce,online eyewear shopping portal,faridabad,softbank vision fund,series g,2055.9Cr,2019,12,4
2019-11-13,freshworks,software,business and customer engagement tools,san francisco,sequoia capitalg accel,series h,1335.0Cr,2019,11,4
